scenario,case,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_samples
shape_only,B,0.4,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.6,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.8,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,1.0,recovery_rapidity_90,mean_kendall_tau,0.9984,0.9555555555555556,1.0,10000
shape_only,B,0.2,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.4,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.6,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.8,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,1.0,recovery_rapidity_90,mean_spearman_rho,0.9993009523809524,0.980952380952381,1.0,10000
evidence_tradeoff,A,0.2,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.4,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.6,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.8,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,1.0,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.2,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.4,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.6,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.8,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,1.0,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.2,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
