scenario,metric,candidate,mean_regret,bootstrap_ci95_low,bootstrap_ci95_high
boundary_tradeoff,resilience_index,L0,0.9958287351564856,0.993483122225886,0.997882691167825
boundary_tradeoff,resilience_index,L1,0.7614042873803369,0.7094861699595826,0.8108350029680989
boundary_tradeoff,resilience_index,L2,0.5251520309880281,0.4560701685495428,0.5931885285891056
boundary_tradeoff,resilience_index,L3,0.3251488585068123,0.2595253715445586,0.3930298264372542
boundary_tradeoff,resilience_index,L4,0.1518533974062206,0.10123375643398456,0.20614522171231997
boundary_tradeoff,resilience_index,F_fast,0.016916003352524807,0.010379317703683898,0.023907121776713072
boundary_tradeoff,functionality_day_30,L0,0.9907715320958349,0.9878517889854854,0.9933063759065771
boundary_tradeoff,functionality_day_30,L1,0.7028832552228741,0.6630001324055377,0.7415555686937435
boundary_tradeoff,functionality_day_30,L2,0.4439401387724125,0.3957157170389989,0.4917186845813381
boundary_tradeoff,functionality_day_30,L3,0.22983577635813757,0.19171541942114986,0.2690192865973493
boundary_tradeoff,functionality_day_30,L4,0.05559694956307648,0.03340299201264412,0.08188942905746802
boundary_tradeoff,functionality_day_30,F_fast,0.10546160633590822,0.08507702623527501,0.12531933033245887
boundary_tradeoff,functionality_day_90,L0,0.8872412923269669,0.875316372120077,0.8985311011263519
boundary_tradeoff,functionality_day_90,L1,0.7289132195697542,0.6944712709716794,0.7607946397926906
boundary_tradeoff,functionality_day_90,L2,0.5533845378916734,0.49982188315291465,0.604825388438783
boundary_tradeoff,functionality_day_90,L3,0.408182305375819,0.3497822657171944,0.46557382635732075
boundary_tradeoff,functionality_day_90,L4,0.28029549609689214,0.22719794656123024,0.33519529860632746
boundary_tradeoff,functionality_day_90,F_fast,0.01543124768351967,0.012160221438162675,0.01876073596496706
boundary_tradeoff,recovery_rapidity_90,L0,0.9122126511421517,0.8717169970210248,0.9492723567989062
boundary_tradeoff,recovery_rapidity_90,L1,0.7016367291540315,0.5941507091976471,0.7963681720277218
boundary_tradeoff,recovery_rapidity_90,L2,0.586969234334082,0.46617574718705596,0.7031684408533936
boundary_tradeoff,recovery_rapidity_90,L3,0.44326324455675803,0.319461270117282,0.5682001795071243
boundary_tradeoff,recovery_rapidity_90,L4,0.2776597371612706,0.17106803679665786,0.3907548410407252
boundary_tradeoff,recovery_rapidity_90,F_fast,0.05738295964588069,0.031519417175785595,0.08612968156244157
