case,recovery_scenario,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_mc_samples
A,capacity_recovery_tradeoff,0.4,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.6,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.8,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,1.0,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.2,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.4,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.6,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.8,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,1.0,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.2,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.8,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,1.0,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.2,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.8,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,1.0,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.2,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.8,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,1.0,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
